Counties,Average. Count Over 20 Years,Total Count Over 20 Years
"Mendocino County, California",0,16
"Sonoma County, California",66,5018
"Marin County, California",1135.513187,"184,718"
"San Francisco County, California",8.492252457,1453
"Solano County, California",12.28571429,258
"Contra Costa County, California",70.11904762,2944
"Alameda County, California",1507.865079,147510
"San Mateo County, California",1.595238095,69
"Santa Cruz County, California",2050.095351,380514
"Monterey County, California",3094.893605,623414
"San Luis Obispo County, California",2287.237993,1211623
"Santa Barbara County, California",2171.706559,884165
"Ventura County, California","1,488",200491
"Los Angeles County, California",152.5991106,22577
"Orange County, California",30,"4,266"
"San Diego County, California",19.46045014,4420
"Inyo County, California",4.253968254,219
