Counties,Total. Count Over 20 Years,Average. Count Over 20 Years
Mendocino,16,0
Sonoma,"5,018",66
Marin,184718,1135.513187
San Francisco,1453,8.492252457
Solano,258,12.28571429
Contra Costa,2944,70.11904762
Alameda,147510,1507.865079
San Mateo,69,1.595238095
Santa Cruz,380514,2050.095351
Monterey,623414,3094.893605
San Luis Obispo,1211623,2287.237993
Santa Barbara,884165,2171.706559
Ventura,"200,491","1,488"
Los Angeles,22577,152.5991106
Orange,"4,266",30
San Diego,4420,19.46045014
Inyo,219,4.253968254
