City,Lat,Long
Santa Barbara,34.4208,-119.6982
Redding,40.5865,-122.3917
Kelseyville,38.978,-122.8394
Woodland,38.6785,-121.7733
Roseville,38.7521,-121.288
Davis,38.5449,-121.7405
Santa Rosa,38.4404,-122.7141
Stockton,37.9577,-121.2908
San Rafael,37.9735,-122.5311
San Jose,37.3382,-121.8863
Redwood,37.4848,-121.2281
Gilroy,37.003,-121.5566
Visalia,36.3302,-119.2921
Chalfant Valley,37.5294,-118.3634
Indio,33.7206,-116.2156
Victorville,34.5362,-117.2928
Riverside,33.9806,-117.3755
Anaham,33.8366,-177.9143
Sacramento,38.5816,-121.4944
Pismo Beach,35.1428,-120.6413
Santa Cruz,36.9741,-122.0308
Monterey,36.6002,-121.8947
Santa Maria,34.953,-120.4357
Los Angeles,34.0522,-118.2437
Long Beach,33.7701,-118.1937
Ontario,34.0633,-117.6509
San Clemente,33.4272,-117.6126
Escondido,33.1192,-117.0864
San Diego,32.7157,-117.1611
,,r
