STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2002-04,4.4,28.3,12.9
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2002-05,5.6,26.7,13.2
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2002-06,6.7,32.2,14.5
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2002-11,6.7,30.6,16.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2002-12,4.4,21.1,12.2
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-01,6.7,31.1,15.9
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-02,5,21.7,12.4
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-03,5,27.2,13.6
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-04,2.8,26.1,12.6
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-05,7.2,31.1,15.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-06,8.9,31.7,15.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-07,7.8,30,18.3
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-08,11.1,28.3,17.9
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-09,11.1,31.7,18.5
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-10,7.8,35.6,19.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-11,4.4,25.6,13.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2003-12,2.2,22.2,12.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-01,1.7,22.8,11.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-02,5,21.1,11.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-03,6.7,30,15.6
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-04,5,36.1,14.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-05,6.7,32.2,15.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-06,7.8,26.1,14.9
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-07,10,27.8,17
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-08,10.6,25.6,17.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-09,8.3,34.4,19.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-10,7.8,31.1,15.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-11,3.9,23.9,13.2
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2004-12,1.7,27.8,15.9
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-01,6.1,,
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-06,6.7,25,14.3
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-07,10,30,16.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-08,8.9,32.8,17.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-09,7.8,35,16.5
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-10,7.8,32.8,16.2
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-11,4.4,30,16.6
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2005-12,3.9,26.7,13.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-01,2.8,27.8,12.4
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-02,0.6,29.4,13.5
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-03,1.7,20,9.4
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-04,5.6,23.3,12
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-05,6.7,27.8,14.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-06,8.3,30.6,16.4
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-07,7.2,38.3,19.2
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-08,9.4,29.4,16.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-09,8.9,29.4,16.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-10,8.3,30,16.6
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-11,3.3,32.2,15.4
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2006-12,1.7,27.2,13.3
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-01,-2.2,27.8,11
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-02,2.8,28.3,11.8
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-03,2.8,31.7,13.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-04,4.4,28.9,12.9
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-05,6.1,33.3,13.6
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-06,6.7,28.3,14.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-07,8.3,28.9,16.4
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-08,10,30,17.1
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-09,7.8,40,17.7
USR0000CVND,"VANDENBERG CALIFORNIA, CA US",34.7586,-120.4861,320,2007-10,6.1,34.4,16.9
