,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG
0,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2000-11,5,26.1,13.9
1,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2000-12,5,26.7,13.9
2,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2001-01,4.4,27.8,12.4
3,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2001-02,3.9,27.8,11.9
4,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2001-03,6.7,25,14.3
5,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2001-11,5.6,23.9,15.2
6,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2001-12,5,26.1,12.7
7,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2002-01,2.8,23.3,12.4
8,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2002-02,3.3,31.1,14
9,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2002-03,6.1,24.4,13.8
10,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2002-11,9.4,31.7,17.3
11,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2002-12,5.6,23.3,13.2
12,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2003-01,6.1,31.1,16.7
13,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2003-02,6.1,23.9,14.3
14,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2003-03,7.2,31.7,15.2
15,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2003-11,4.4,29.4,15.1
16,USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",34.01583,-118.45139,53,2003-12,3.9,26.1,13.7
