STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-11,0,20.6,9.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-12,0,20,8.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-01,-0.6,20.6,8.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-02,1.1,18.9,9.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-03,4.4,28.3,14.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-11,1.7,26.1,13.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-12,0.6,15.6,8.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-01,-1.7,17.2,7.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-02,-1.1,25,11.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-03,2.8,27.8,12.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-11,2.8,23.3,12.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-12,-1.7,19.4,9.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-01,1.7,19.4,10
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-02,0.6,20.6,10.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-03,5,26.7,14.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-11,0.6,21.7,10.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-12,-0.6,20,9.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-01,0,19.4,8.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-02,2.2,19.4,10.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-03,4.4,29.4,16.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-11,-0.6,21.1,11
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-12,-1.7,16.7,7.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2005-03,5,25.6,14.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2005-11,1.1,26.1,13.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2005-12,0.6,22.2,10.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2006-03,0,21.7,10.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2006-11,-1.1,23.3,12.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2006-12,-0.6,25,8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2007-01,-4.4,18.3,7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2007-02,-0.6,21.1,10.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2007-11,3.3,26.1,13.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2007-12,-4.4,17.8,7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2008-01,-0.6,18.3,8.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2008-03,2.8,24.4,13.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2008-11,4.4,27.8,13.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2008-12,-0.6,17.2,7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2009-01,0,20,8.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2009-02,0.6,22.2,10.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2009-03,0,25.6,12.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2009-11,2.8,27.2,12.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2009-12,-1.7,17.2,8.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2010-01,2.8,21.1,9.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2010-02,3.9,21.1,11.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2010-03,3.3,26.1,13.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2010-11,-0.6,30,11.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2010-12,-0.6,20.6,10.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2011-02,0,20.6,9.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2011-03,0.6,22.2,12.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2011-12,-1.1,15.6,7.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2012-01,-2.2,21.1,9.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2012-02,2.2,23.3,10.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2012-03,0.6,23.3,12.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2012-12,-1.1,19.4,9.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2013-02,0,20.6,9.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2013-03,4.4,26.7,14.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2014-02,0.6,23.9,12
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2014-03,6.7,26.7,15.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2014-11,3.9,24.4,13.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2014-12,0.6,22.2,10.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2015-01,-2.2,18.3,8.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2015-02,3.9,26.1,13.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2015-03,4.4,30.6,16.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2015-11,-0.6,27.8,11
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2015-12,-1.7,20,7.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2016-01,-1.1,18.3,9.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2016-02,0.6,23.3,12.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2016-03,5,25,14.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2016-11,1.7,27.2,13.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2016-12,-0.6,20.6,8.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2017-01,0,19.4,8.7
