2514514
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2000-11,51.6,65.7,37.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2000-12,53.7,68.2,39.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-01,49.1,62.5,35.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-02,50.3,61.1,39.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-03,55.1,63.9,46.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-04,52.3,62.7,42.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-05,61.2,73.1,49.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-06,62.3,75.3,49.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-07,63.4,72.8,54.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-08,62.1,71.2,53.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-09,62.7,72.7,52.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-10,60.4,71.0,49.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-11,56.2,66.0,46.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2001-12,49.9,60.6,39.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2002-01,48.0,60.5,35.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2002-02,53.6,68.2,39.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2002-03,51.9,64.5,39.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2002-04,55.6,65.8,45.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2002-05,56.2,66.1,46.2
