2517938
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2017-10,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2017-11,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2017-12,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2018-01,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2018-02,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2018-04,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2018-05,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28.0,2018-06,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-01,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-02,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-03,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-04,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-05,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-06,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-08,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2011-11,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-01,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-02,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-03,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-04,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-06,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-07,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-08,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-09,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-10,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2012-12,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2013-01,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2013-02,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2013-03,,,
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-01,31,72,49.7
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-02,29,79,49.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-03,38,83,51.3
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-04,37,80,54.8
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-05,41,86,57.3
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-07,48,96,65.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-08,48,93,65.7
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-09,47,96,68.0
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-10,47,87,63.4
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-11,37,74,52.6
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2011-12,32,74,50.8
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-01,32,70,51.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-02,35,76,52.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-03,37,73,50.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-04,37,85,56.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-05,44,87,61.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-06,46,99,64.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-07,48,93,65.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-08,47,93,65.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-09,45,95,64.0
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-10,46,102,63.8
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-11,39,81,56.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2012-12,34,69,48.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-01,32,66,48.6
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-02,36,71,51.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-03,37,78,54.6
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-04,40,88,60.3
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-05,45,88,62.7
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-06,48,99,66.3
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-07,48,96,64.8
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-08,49,90,66.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-09,50,93,66.8
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-10,42,84,62.1
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-11,42,77,57.4
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2013-12,30,70,50.7
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-01,41,75,56.1
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-02,36,73,52.7
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-03,40,77,57.0
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-04,42,89,58.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-05,44,93,64.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-06,47,95,65.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-07,49,95,67.4
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-08,53,89,66.1
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-09,52,94,66.8
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-10,48,96,66.6
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-11,42,82,58.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2014-12,39,68,53.1
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-01,37,78,53.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-02,42,75,56.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-03,43,82,59.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-04,40,90,58.5
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-05,45,81,58.9
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-06,47,100,66.6
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-07,52,96,68.2
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-08,52,102,70.0
USR0000CSRS,"SANTA ROSA CALIFORNIA, CA US",38.4786,-122.7119,175.6,2015-09,48,101,70.4
