STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2003-11,-2.4,20.4,7.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2004-01,-2.6,17.5,5.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2004-02,-0.8,21.3,7.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2004-03,1,29.7,14.8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2004-11,-2,27.8,10.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2004-12,-2.9,22.2,8.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2005-01,-1.5,20.5,7.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2005-02,0.6,25.7,10
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2005-03,0.9,28.3,11.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2005-11,0,25.4,10.8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2006-02,-3.4,24.3,9.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2006-03,-2.4,15.8,5.8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2006-11,-3,25.9,9.2
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2006-12,-3.9,22.2,6.8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2007-01,-6.7,21.6,6.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2007-02,-2.6,25,7.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2007-03,-0.9,28.7,13.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2007-11,-0.2,28,12.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2007-12,-2.9,15.4,5.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2008-01,-2.8,20.1,4.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2008-02,-2.8,24.3,8.2
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2008-03,-2.5,24.5,10.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2008-11,2.5,27.4,12.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2008-12,-3.9,21.5,5.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2009-01,-2.7,26.5,9.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2009-02,-0.3,20.7,6.8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2009-03,-2,24.7,10.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2009-11,-0.1,25.6,10.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2009-12,-7.4,19.8,5.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2010-01,0.1,15.9,7.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2010-02,-0.3,21.3,8.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2010-03,-2.1,26.9,9.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2010-11,-3.8,28.6,9.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2010-12,-2.6,15,6.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2011-01,-4,22.8,8.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2011-02,-3.6,23.7,7.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2011-03,-0.2,28.4,8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2011-11,-3,20.2,8.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2011-12,-3,21,7.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2012-01,-5.8,20.4,7.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2012-02,-2.2,22.2,8.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2012-03,-3.1,23.9,8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2012-11,-1.1,30.9,11
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2012-12,-2.7,19.9,5.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2013-01,-4.8,23.7,7.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2013-02,-2,21.9,9.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2013-03,-1.4,25.2,12.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2013-11,-1,26.3,12
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2013-12,-7.5,25.6,8
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2014-01,-0.5,27.6,11.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2014-02,-3.9,22.6,9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2014-03,0.2,25.8,11.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2014-11,0.5,26.7,11.2
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2014-12,-4,19.7,8.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2015-01,-3.3,25.5,10.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2015-02,0.4,25.1,12.2
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2015-03,1.1,29.4,14.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2015-11,-4.6,22.3,9.2
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2015-12,-3.1,13.8,5.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2016-01,-5.1,17.8,6.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2016-02,-0.5,25.8,11.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2016-03,2.4,25.8,11.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2016-11,0.5,23.9,10.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2016-12,-3.3,17.9,5.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2017-01,-4.7,18,5.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2017-02,-2.2,20.6,8.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2017-03,0.7,27.3,11.6
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2017-11,1.1,22.1,9.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2017-12,-3.3,23.8,9.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2018-01,-0.6,23.3,8.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2018-02,-5.4,25.8,9.2
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2018-03,-2.2,26.4,9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2018-11,3.7,28.5,13.1
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2018-12,-0.6,15.8,7.5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2019-01,-1.4,23.8,8.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2019-02,-1.6,12.9,5
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2019-03,0.9,21.8,9.7
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2019-11,-0.8,30.3,13.9
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2019-12,-0.1,17.1,7.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2020-01,-0.6,18.7,7.4
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2020-02,-1.9,24.7,11.3
USW00004222,"REDDING 12 WNW, CA US",40.6507,-122.6068,432.2,2020-03,0.2,25.7,9.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2000-11,-2.8,23.9,8.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2000-12,-2.2,21.1,8.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2001-01,-2.8,23.3,6.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2001-02,-2.8,20.6,8.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2001-03,-0.6,27.8,14.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2001-11,1.7,27.2,11.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2001-12,-1.7,17.2,7.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2002-01,-3.9,17.8,7.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2002-02,-2.2,25,10.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2002-03,-1.7,31.1,11.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2002-11,-0.6,26.7,12.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2002-12,-0.6,18.9,7.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2003-01,1.7,23.9,10.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2003-02,-3.9,20.6,9.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2003-03,-0.6,27.2,12.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2003-11,-1.7,22.2,9.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2003-12,-3.3,18.9,7.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2004-01,-3.9,19.4,6.4
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2004-02,-1.7,20.6,9.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2004-03,2.2,31.1,16
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2004-11,-0.6,26.7,11.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2004-12,-2.8,21.7,9.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2005-01,-2.2,21.1,8.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2005-02,0.6,25.6,11.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2005-03,1.1,28.9,13.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2005-11,-1.1,26.7,11.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2005-12,-4.4,20.6,8.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2006-01,-1.1,21.1,8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2006-02,-5,26.7,10.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2006-03,-2.2,18.3,8.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2006-11,-1.7,27.2,10.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2006-12,-3.9,21.7,7.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2007-01,-7.2,22.8,7.4
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2007-02,-2.8,25,9.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2007-03,-1.1,30.6,14.4
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2007-11,-2.2,29.4,13.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2007-12,-4.4,18.9,7.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2008-01,-1.7,19.4,6.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2008-02,-1.1,25.6,9.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2008-03,-0.6,25,12.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2008-11,1.7,28.3,13.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2008-12,-5,21.1,6.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2009-01,-3.3,25.6,9.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2009-02,-2.8,22.2,8.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2009-03,-1.1,26.1,11.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2009-11,-1.1,27.8,10.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2009-12,-8.9,20,6.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2010-01,-0.6,16.7,8.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2010-02,0.6,23.9,9.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2010-03,-1.1,27.2,11.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2010-11,-3.3,30,10.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2010-12,-3.3,16.1,8.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2011-01,-3.3,25,8.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2011-02,-2.2,24.4,8.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2011-03,-0.6,30.6,10.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2011-11,-2.8,22.8,9.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2011-12,-4.4,21.7,8.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2012-01,-8.9,20.6,8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2012-02,-1.7,23.9,10.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2012-03,0,25,10.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2012-11,-1.1,30.6,12
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2012-12,-3.9,21.7,6.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2013-01,-4.4,21.7,7.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2013-02,-1.7,22.8,9.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2013-03,1.1,26.7,13.4
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2013-11,-2.1,27.8,12.4
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2013-12,-6.6,25.6,7.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2014-01,-3.2,26.7,11.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2014-02,-3.8,23.9,10.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2014-03,1.7,26.7,13
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2014-11,-1.6,27.8,12.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2014-12,-2.1,22.2,10.4
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2015-01,-2.7,26.7,10.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2015-02,0.6,26.1,13.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2015-03,1.1,31.1,16
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2015-11,-5.5,23.9,10.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2015-12,-1.6,16.7,7.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2016-01,0.6,20,9.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2016-02,0.6,27.8,12.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2016-03,5,27.8,13.7
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2016-11,1.1,26.7,11.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2016-12,-4.9,20,7.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2017-01,-1.6,20,7.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2017-02,-1.6,21.1,10.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2017-03,0,27.8,13.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2017-11,0.6,21.7,11.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2017-12,-2.7,24.4,9.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2018-01,-0.5,23.9,10
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2018-02,-3.8,27.2,10.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2018-03,-1.6,28.3,11.3
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2018-11,-1.6,30.6,13.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2018-12,-1,17.8,8.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2019-01,-1.6,23.9,10.2
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2019-02,-2.1,15,7.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2019-03,0.6,25,11.6
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2019-11,-1,31.7,13.5
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2019-12,-1,20.6,8.9
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2020-01,-1,21.1,8.8
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2020-02,0.6,27.2,12.1
USW00024257,"REDDING AIRPORT, CA US",40.5175,-122.2986,151.5,2020-03,-0.5,27.8,11.8
USR0000COAB,"OAK BOTTOM CALIFORNIA, CA US",40.6506,-122.6056,404.2,2001-11,-1.7,29.4,10.6
USR0000COAB,"OAK BOTTOM CALIFORNIA, CA US",40.6506,-122.6056,404.2,2001-12,-0.6,16.1,6.3
USR0000COAB,"OAK BOTTOM CALIFORNIA, CA US",40.6506,-122.6056,404.2,2002-01,-3.9,19.4,6.9
USR0000COAB,"OAK BOTTOM CALIFORNIA, CA US",40.6506,-122.6056,404.2,2002-02,-1.7,27.2,10.4
USR0000COAB,"OAK BOTTOM CALIFORNIA, CA US",40.6506,-122.6056,404.2,2002-03,-2.8,33.3,10.6
USR0000COAB,"OAK BOTTOM CALIFORNIA, CA US",40.6506,-122.6056,404.2,2002-11,-1.7,28.9,12.4
