"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2000-11","0.6","19.4","9.2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2000-12","3.3","19.4","10.7"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-01","1.1","20.0","8.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-02","0.6","18.9","8.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-03","2.2","26.1","13.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-04","0.0","29.4","11.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-05","8.3","36.7","23.2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-06","8.9","37.2","23.7"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-07","8.9","40.6","24.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-08","11.1","38.3","24.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-09","10.6","35.6","23.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-10","8.3","37.8","19.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-11","2.2","25.6","12.4"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2001-12","2.2","18.9","7.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-01","-2.2","17.2","7.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-02","1.1","23.9","10.5"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-03","0.0","25.6","10.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-04","2.8","26.7","13.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-05","5.0","34.4","17.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-06","7.8","36.7","22.5"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-07","12.8","40.6","25.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-08","9.4","35.6","23.8"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-09","8.9","35.6","23.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-10","3.9","30.6","16.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-11","6.1","23.3","13.4"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2002-12","1.1","16.1","8.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-01","3.3","19.4","11.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-02","2.8","16.7","9.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-03","2.2","25.0","11.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-04","1.1","22.2","10.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-05","3.3","34.4","17.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-06","7.8","38.3","22.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-07","15.0","38.9","28.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-08","12.2","35.6","23.8"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-09","12.2","37.8","24.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-10","4.4","32.2","21.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-11","2.2","20.6","10.4"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2003-12","0.0","17.2","8.7"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-01","-0.6","18.9","7.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-02","2.2","17.8","8.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-03","3.9","26.1","16.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-04","3.3","33.3","16.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-05","6.7","35.0","18.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-06","8.3","35.6","22.2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-07","11.1","35.6","25.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-08","11.1","38.3","24.8"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-09","7.2","35.0","22.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-10","4.4","32.2","15.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-11","0.6","17.8","10.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2004-12","2.2","16.7","8.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-01","-1.1","21.1","7.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-02","4.4","18.3","10.2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-03","3.9","24.4","12.2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-04","3.3","22.2","12.4"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-05","6.1","32.2","17.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-06","7.2","34.4","19.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-07","12.2","40.0","27.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-08","11.7","38.3","27.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-09","8.3","32.8","20.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-10","8.3","30.0","17.7"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-11","4.4","25.0","14.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005-12","0.6","18.9","10.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-01","1.7","19.4","9.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-02","0.0","20.6","10.8"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-03","-1.1","20.0","7.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-04","2.8","27.2","11.8"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-05","6.1","35.0","19.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-06","8.3","38.9","24.4"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-07","12.2","41.7","28.5"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-08","11.1","35.0","23.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-09","7.8","36.7","22.8"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-10","4.4","27.8","16.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-11","2.2","26.1","12.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2006-12","0.6","20.6","9.3"
