"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG"
"US1CAOR0025","IRVINE 2.9 WSW, CA US","33.639927","-117.838067","58.8","2019-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-01",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-03",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-04",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-05",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-06",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-07",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-08",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-09",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-10",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-11",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2015-12",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-01",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-03",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-04",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-05",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-06",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-07",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-08",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-09",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-10",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2016-12",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-01",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-04",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-05",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-07",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-08",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-09",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-10",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2017-11",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-01",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-03",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-05",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-07",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-08",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-09",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-10",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-11",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2018-12",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-01",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-03",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-04",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-05",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-06",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-07",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-08",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-09",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-10",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-11",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2019-12",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2020-01",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2020-02",,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2020-03",,,
"US1CALA0010","WHITTIER 2.9 WNW, CA US","33.986232","-118.066418","52.1","2015-01",,,
