STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2000-11,5.6,25.6,14.2
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2000-12,5.6,26.7,13.9
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2001-01,3.9,27.2,12.3
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2001-02,3.9,30,12.2
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2001-03,6.7,27.8,14.7
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2001-11,6.1,25,15.3
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2001-12,4.4,25.6,12.6
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2002-01,2.8,25.6,12.3
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2002-02,3.9,30.6,14.4
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2002-03,6.1,24.4,13.6
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2002-11,7.2,31.1,16.4
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2002-12,4.4,21.1,13
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2003-01,6.7,31.7,16.3
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2003-02,5.6,22.8,13.7
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2003-03,7.2,30.6,15.3
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2003-11,5.6,24.4,14.8
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2003-12,3.3,23.3,13.1
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2004-01,2.8,21.1,12.6
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2004-02,5.6,21.7,12.8
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2004-03,6.1,32.2,15.6
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2004-11,5,26.7,14.9
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2004-12,5,26.1,13.8
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2005-01,5,28.9,13.5
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2005-02,7.8,22.8,14.7
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2005-03,8.3,25.6,15.4
USC00047902,"SANTA BARBARA, CA US",34.4167,-119.6844,4.9,2005-11,7.2,28.3,17
