2514525
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2000-11,9.7,17.1,2.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2000-12,8.3,15.3,1.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-01,6.7,14.4,-0.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-02,8.8,15.2,2.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-03,12.6,20.5,4.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-04,11.6,20.3,2.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-05,17.7,28.1,7.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-06,19.2,30.4,7.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-07,18.4,27.2,9.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-08,19.0,29.2,8.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-09,17.6,26.9,8.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-10,16.9,26.7,7.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-11,12.3,18.5,6.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2001-12,8.9,13.5,4.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-01,7.6,14.1,1.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-02,10.1,17.6,2.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-03,10.8,18.6,3.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-04,13.4,20.7,6.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-05,14.6,23.9,5.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-06,18.6,28.9,8.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-07,19.1,28.5,9.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-08,18.7,27.8,9.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-09,18.5,30.0,6.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-10,15.2,25.4,5.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-11,12.8,21.1,4.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2002-12,9.5,14.7,4.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-01,10.9,15.5,6.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-02,9.9,17.8,2.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-03,12.5,20.4,4.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-04,11.1,18.3,3.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-05,15.3,23.9,6.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-06,18.3,27.6,9.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-07,19.7,30.2,9.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-08,19.6,29.2,10.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-09,19.4,29.9,8.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-10,17.3,29.3,5.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-11,10.0,16.9,3.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2003-12,8.7,13.8,3.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-01,8.5,13.6,3.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-02,9.9,16.0,3.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-03,14.7,24.2,5.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-04,14.4,23.7,5.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-05,15.9,25.4,6.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-06,18.7,29.0,8.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-07,19.1,27.6,10.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-08,20.2,29.9,10.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-09,19.6,31.7,7.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-10,15.3,24.4,6.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-11,11.4,18.8,4.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2004-12,9.1,14.7,3.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-01,7.7,12.6,2.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-02,11.1,17.3,4.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-03,13.0,20.3,5.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-04,12.8,21.6,4.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-05,15.9,23.7,8.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-06,17.4,25.9,8.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-07,19.5,29.1,9.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-08,18.3,27.7,9.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-09,16.9,26.9,7.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-10,15.6,25.6,5.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-11,12.8,21.9,3.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2005-12,9.1,14.5,3.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-01,9.3,15.8,2.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-02,10.0,18.9,1.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-03,8.6,14.4,2.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-04,12.6,18.3,6.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-05,15.8,24.4,7.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-06,18.9,28.4,9.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-07,20.5,31.2,9.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-08,17.8,27.1,8.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-09,17.8,28.0,7.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-10,14.9,25.0,4.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-11,11.7,18.9,4.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-12,7.9,14.7,1.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-01,7.4,16.4,-1.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-02,10.0,16.6,3.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-03,13.0,22.1,3.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-04,13.4,22.5,4.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-05,15.7,24.9,6.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-06,18.2,28.5,7.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-07,19.8,29.9,9.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-08,19.5,29.9,9.1
