Year,01,02,03,04,05,06,07,08,09,10,11,12
2000,,,11.8,13.75,14.625,15.866666666666665,15.4,16.025,17.4,14.725,11.122222222222222,12.090476190476188
2001,9.724206349206348,10.286904761904761,12.847222222222223,11.458333333333334,15.8125,16.366666666666667,16.645833333333332,16.5125,16.8125,15.987499999999999,13.386111111111111,10.388888888888888
2002,8.982222222222221,12.006349206349206,11.297222222222224,13.055,13.508333333333333,15.28809523809524,17.567857142857143,16.714285714285715,17.0875,14.735714285714284,14.559523809523808,10.998809523809522
2003,13.686904761904762,11.441666666666668,12.858333333333334,12.024999999999999,14.825000000000001,16.263333333333335,17.533333333333335,18.326785714285716,18.196428571428573,17.07857142857143,11.994444444444445,10.9
2004,10.163492063492063,10.577380952380954,14.991666666666667,14.135714285714286,15.251785714285713,15.90952380952381,17.416666666666668,17.817500000000003,18.002500000000005,15.2575,11.842857142857142,11.130158730158728
2005,10.930952380952382,12.223809523809523,13.379761904761905,12.742857142857144,15.238095238095239,15.042857142857143,16.54642857142857,16.564285714285713,15.788095238095238,15.245238095238095,14.416666666666666,11.649999999999999
2006,10.743650793650794,11.688095238095238,9.36031746031746,12.603571428571428,14.42142857142857,16.164285714285715,17.364285714285714,16.575,16.20357142857143,15.489285714285714,13.442857142857141,10.684920634920635
2007,9.076190476190476,10.962698412698414,13.322222222222223,13.15,14.266666666666666,15.716666666666669,17.116666666666664,17.44166666666667,17.799999999999997,15.891666666666664,13.781746031746032,9.305555555555555
2008,9.697619047619048,10.894444444444446,12.038095238095238,13.141666666666666,14.141666666666666,16.308333333333334,17.358333333333334,18.03333333333333,17.84166666666667,17.791666666666664,15.077777777777778,9.950000000000001
2009,12.638888888888886,11.161111111111111,11.83333333333333,13.125,15.233333333333334,16.8,17.016666666666666,18.108333333333334,18.7,16.366666666666667,12.944444444444448,10.005555555555556
2010,11.494444444444445,11.694444444444445,11.794444444444444,12.45,13.375,15.441666666666666,16.133333333333333,16.691666666666666,18.066666666666666,16.125,12.83,11.608333333333334
2011,11.43,9.985,12.370000000000001,12.983333333333334,13.541666666666668,15.649999999999999,18.009999999999998,17.64,18.549999999999997,17.36,12.065555555555555,9.677222222222225
2012,10.978333333333333,11.26222222222222,11.678333333333333,13.99,15.18,16.87,17.6625,18.74,17.630000000000003,17.6175,14.233333333333334,10.237777777777778
2013,9.872222222222222,10.257777777777777,13.183333333333332,14.55,16.290000000000003,18.075,18.78,18.759999999999998,18.909999999999997,15.659999999999998,13.651111111111112,10.533333333333333
2014,13.642222222222221,12.457777777777778,14.270000000000001,15.049999999999999,17.119999999999997,17.47,19.82,19.629999999999995,19.29,19.02,14.648888888888889,12.434444444444445
2015,13.037777777777777,14.184444444444445,15.405555555555557,14.309999999999999,14.83,18.27,20.049999999999997,20.163333333333334,20.96333333333333,19.78333333333333,12.776666666666666,10.206666666666665
2016,11.873333333333335,14.967777777777778,13.623333333333333,15.315000000000001,15.51,17.735000000000003,17.419999999999998,17.645,18.619999999999997,17.45,14.452777777777778,11.0
2017,10.46388888888889,12.108333333333334,14.276666666666666,15.0375,15.6875,17.7125,18.666666666666668,19.174999999999997,20.78,18.515,15.133333333333333,12.641666666666666
2018,13.219444444444443,12.374444444444444,12.476666666666665,14.27,14.815,16.424999999999997,19.3,18.6625,16.9625,17.4375,14.93611111111111,11.677777777777777
2019,12.019444444444444,9.205555555555556,12.338888888888889,14.758333333333333,14.658333333333333,17.275000000000006,17.791666666666664,19.383333333333333,20.0,17.6,13.733333333333334,11.683333333333332
2020,11.266666666666666,12.62222222222222,11.933333333333332,,,,,,,,,
