Year,01,02,03,04,05,06,07,08,09,10,11,12
2000,13.658823529411766,13.40666666666667,13.368750000000002,16.481249999999996,18.74,21.021428571428565,21.852941176470583,23.529411764705877,21.922222222222217,17.3,13.741843681917212,14.391176470588235
2001,11.588591269841272,11.315674603174603,14.576382797270956,14.433458646616542,18.908881578947366,21.240079365079367,21.80952380952381,22.852083333333333,22.11875,19.74078947368421,15.483834586466164,11.82858187134503
2002,12.212878787878788,14.378333333333334,13.500564148073023,15.266250000000001,17.042690058479536,19.599999999999998,21.92046783625731,21.81111111111111,22.58888888888889,17.456249999999997,17.062211383343417,12.318486842105266
2003,16.425551470588232,13.33533899853801,15.042876129718234,14.564619883040935,17.37569444444444,18.90555555555556,23.614473684210523,24.72416666666667,22.62222222222222,21.264761904761905,14.52343954248366,12.606955645161293
2004,12.835506379585325,12.098145933014356,17.069534050179207,17.232352941176472,19.970261437908498,19.94375,23.083750000000002,22.617251461988303,23.253125000000004,18.078125,14.107702020202021,13.278161764705882
2005,13.29982638888889,13.601767676767677,14.596697765127555,16.089473684210528,18.83187134502924,19.663450292397656,23.229779411764703,23.433680555555558,21.3125,19.013333333333335,17.258371212121208,14.198476702508962
2006,13.42187724014337,14.478596088973225,11.278564814814814,15.56666666666667,19.122222222222224,23.08888888888889,26.700000000000003,23.9,23.000000000000004,19.47777777777778,17.295972222222222,13.308075396825396
2007,11.793628472222222,13.614722222222223,16.1655535130719,16.21944444444444,18.281597222222224,20.333333333333332,23.222697368421052,24.672932330827066,21.92744360902256,19.944078947368425,16.463199013157894,11.833695175438596
2008,11.843809865900383,12.89647000565931,15.28737349778621,17.385526315789473,17.949342105263156,21.72083333333333,22.939682539682536,23.86654135338346,23.270955882352943,21.63949579831933,17.894844470046085,12.00625
2009,15.088997277676953,12.729977678571428,14.082557603686634,16.43486842105263,19.223750000000003,19.591250000000002,23.59166666666667,23.87380952380952,24.033749999999998,19.1575,16.36294642857143,12.301041666666666
2010,13.650091575091576,13.353968596059115,14.636011904761906,14.675,16.907500000000002,19.34,21.1625,22.22,21.96279761904762,18.786904761904765,15.242025375939852,13.26912955465587
2011,14.166659482758622,11.788562030075187,14.254423732943469,16.74415584415584,17.342045454545456,19.167613636363633,22.592391304347824,22.907954545454547,22.061363636363637,19.6625,14.55863224637681,12.12875
2012,14.606887829912024,13.335967908902692,13.64205882352941,16.458333333333336,18.461309523809526,19.889583333333334,22.01534090909091,25.289751552795032,25.01980519480519,20.912797619047623,16.410738636363636,12.343011363636364
2013,12.254090909090909,12.552689144736842,15.465,16.676644736842103,19.40921052631579,20.77828947368421,22.679934210526312,23.081249999999997,23.34934210526316,18.98092105263158,16.573697916666667,13.882110113994665
2014,16.30286396434635,14.99890625,16.45043585526316,17.877631578947366,20.813750000000006,21.06282894736842,24.057565789473685,24.146052631578947,24.98092105263158,22.152960526315788,17.90943181818182,14.183310696095077
2015,15.368333333333334,16.58046875,18.565905172413796,17.9475,17.2775,21.70375,22.99046052631579,24.866776315789473,25.285526315789472,23.116447368421053,15.705732758620691,12.693070175438596
2016,13.145,17.34744830827068,15.598124999999996,17.880000000000003,17.73345864661654,22.17293233082707,24.100375939849627,23.974285714285713,22.80464285714286,20.841353383458646,17.434904970760236,13.330496121525533
2017,12.265625,13.441586134453782,16.534687499999997,18.15,18.214338235294115,21.0875,23.984558823529415,23.95367647058823,22.89191176470588,22.146875,17.942060185185184,15.286335784313724
2018,15.749776785714287,13.702455357142858,14.201260504201679,17.278125000000003,17.459375,20.440625,25.228676470588233,25.171691176470585,22.615625,20.3125,17.19553571428571,13.618601190476191
2019,13.333080357142855,10.576927521008404,14.282757352941175,17.364338235294117,16.606250000000003,20.200000000000003,23.132083333333334,23.815625,23.321875,20.7875,16.555138888888887,12.994642857142857
2020,13.52658564814815,14.465451388888889,13.511342592592591,,,,,,,,,
